pool_id,pool_type,pool_addr,lp_token_addr,pool_assets,lp_token_name,lp_token_symbol,total_fee_bps,protocol_fee_percent,developer_fee_percent,lp_token_symbo
13,stable-3-pool,persistence162792x9eu5wvtrcxsdfvlkjtj6857c93jkhg3qy4zzak89sq4zwq7vwzsv,persistence1h5tz3pvy6e4ujndfdyjxy84hlmq28lna86n3n72h3cj3e5u3q8lsd3d6m9,"[{""info"":{""token"":{""contract_addr"":""persistence10kkn698hpzm07kj0klhj3hrkxjsmngj9598esypm5kh9hfpealpqpjvhel""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1vqpc6fl6v6semp3yhml5mzw8pgcrafawjk5f6cq4723wc47y0l2qualxyh""}},""amount"":""0""}]",13-Dex-LP,,300,49,15,DEX-LP
14,stable-3-pool,persistence19uvk47ujwwhswxfrhlqykn2x2wdw6kcp3jtqu0g62usuga75rhwqkdmu4r,persistence1d8thneasuuhrflhel59hcvj77rj5vf6vjmz3njsu5n3ss94jjh5sauwxux,"[{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1vqpc6fl6v6semp3yhml5mzw8pgcrafawjk5f6cq4723wc47y0l2qualxyh""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",14-Dex-LP,,300,49,15,DEX-LP
15,stable-3-pool,persistence1vs6f4p8ntda6g8xw5rfqzkg4p063zg665gz6lx4c7rremvfw6xyqrd34np,persistence14kh5m3fsdd83c4h50cfaa2yllxz8ueyymz8k8dlppm8ws78kf82q0yp8j7,"[{""info"":{""token"":{""contract_addr"":""persistence10kkn698hpzm07kj0klhj3hrkxjsmngj9598esypm5kh9hfpealpqpjvhel""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",15-Dex-LP,,300,49,15,DEX-LP
16,weighted,persistence1qkuqpqx98zwp8pvh3a2tl536l7cmhcw2qlp0fj35tz9pt80864zs2z8332,persistence16t06zt2ew6tajsyw074f4srd3exthfc35k0u29dw4uz6w4zuf9msh98d9l,"[{""info"":{""token"":{""contract_addr"":""persistence10kkn698hpzm07kj0klhj3hrkxjsmngj9598esypm5kh9hfpealpqpjvhel""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",16-Dex-LP,,300,49,15,DEX-LP
17,weighted,persistence180qwhupk30f68ygp7lz4vwcppsfkjr9n4ytsz03c04fsku0hrccs8k3pgl,persistence189sfhaxxghg8q027lns9j7744ksrxuke35y3az7hyjcthnzf48aqjpj0ea,"[{""info"":{""token"":{""contract_addr"":""persistence10kkn698hpzm07kj0klhj3hrkxjsmngj9598esypm5kh9hfpealpqpjvhel""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1vqpc6fl6v6semp3yhml5mzw8pgcrafawjk5f6cq4723wc47y0l2qualxyh""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",17-Dex-LP,,300,49,15,DEX-LP
18,weighted,persistence1w4sqzvve7jer3v8pqrwdge7nmwh5k6l6hsd4nzrmksg3ehzcqhjs7ja7zt,persistence1500q8numf879gjyr7385t9q0zwsvkz0hen6laf4uy48rwrwyugzsjnczn3,"[{""info"":{""token"":{""contract_addr"":""persistence1vqpc6fl6v6semp3yhml5mzw8pgcrafawjk5f6cq4723wc47y0l2qualxyh""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",18-Dex-LP,,300,49,15,DEX-LP
19,xyk,persistence1dm63j3h2mwcz9pwsx7608dx544d6ck853dn8njc9d49ejde9shuqqyjkf6,persistence14ny2s35cyffdyth0r95sq6r5ff7pr0exk2qekujdgrxxkcrq3e9sqt03y7,"[{""info"":{""token"":{""contract_addr"":""persistence1h5tz3pvy6e4ujndfdyjxy84hlmq28lna86n3n72h3cj3e5u3q8lsd3d6m9""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",19-Dex-LP,,300,49,15,DEX-LP
20,xyk,persistence1skpqtmc6n8kg3ksu7734kxtzezhlckgcq30fs44qt40w9h8njqyq4f0fpa,persistence1dy4gx3tpesmnp3kyrra5qukns48cgg9lc8zkzfn3z9aq6d9v0uaqpz4mu6,"[{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",20-Dex-LP,,300,49,15,DEX-LP
21,stable-2-pool,persistence17rkj7w3d3v0lgutanxcmczah3ls7qwphp5y48574ae3882tgvmequmhu9r,persistence16jg37axpyr7wwqjmm5mhnvzxh4xjfguy0u7zhc0382scepd9jugshc7ndp,"[{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",21-Dex-LP,,300,49,15,DEX-LP
22,stable-2-pool,persistence1tr9et439dej6l0xqedaesw8dne0arf5ywfjm5rgee706ppmz6g4qcetxu5,persistence1yczzrzayyneh84dsjta8q8t9zx9c3qt9uq4k8xt0xdajvqyswwwsdcjys8,"[{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1h5tz3pvy6e4ujndfdyjxy84hlmq28lna86n3n72h3cj3e5u3q8lsd3d6m9""}},""amount"":""0""}]",22-Dex-LP,,300,49,15,DEX-LP
23,stable-3-pool,persistence168mp9utcq8v0qa2fp7xvk5es7gypdgnl8eqlm7wnkvk6dgp467vs04gvma,persistence13l8lsln9tmm530p478e99ee2wr7f72fuqd2uwd4x45t2hlymfccs3nd8np,"[{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1h5tz3pvy6e4ujndfdyjxy84hlmq28lna86n3n72h3cj3e5u3q8lsd3d6m9""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",23-Dex-LP,,300,49,15,DEX-LP
24,stable-3-pool,persistence1s8ehad3r9wxyk08ls2nmz8mqh4vlfmaxd2nw0crxwh04t4l5je4srwj2cq,persistence10dmg9gtsu236f7al2dm2gvpsyaft6yn4e6qhvurq694ldhusnjdsullj2p,"[{""info"":{""token"":{""contract_addr"":""persistence10kkn698hpzm07kj0klhj3hrkxjsmngj9598esypm5kh9hfpealpqpjvhel""}},""amount"":""0""},{""info"":{""token"":{""contract_addr"":""persistence1ekc95e6p7277t77ahxn2dhl5qz76r6egdlrdp2ehvewdraa97m7qfz2ydq""}},""amount"":""0""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""0""}]",24-Dex-LP,,300,49,15,DEX-LP
