block_time_last,pool_id,lp_tokens_minted,provided_assets,total_pool_liquidity
1667464880,2,1000000000,"[{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
1667465033,3,2000000000,"[{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,4,3000000000,"[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,5,4000000000,"[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,6,5000000000,"[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1uakxncqvela43mtpck8azfupk7wzzau8jx785595fc73tqg803hq6mwqqp""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1uakxncqvela43mtpck8azfupk7wzzau8jx785595fc73tqg803hq6mwqqp""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,7,4000000000,"[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence14pca2wuhufwpe4hsuka6ue2fmg0ffl5uumaa4p45l009mjw7r0pqtnz2f5""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""1000000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""1000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,10,100000000,"[{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""300000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""token"":{""contract_addr"":""persistence1uakxncqvela43mtpck8azfupk7wzzau8jx785595fc73tqg803hq6mwqqp""}},""amount"":""400000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""300000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""token"":{""contract_addr"":""persistence1uakxncqvela43mtpck8azfupk7wzzau8jx785595fc73tqg803hq6mwqqp""}},""amount"":""400000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,12,100000000,"[{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,13,100000000,"[{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""300000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""300000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
0,14,100000000,"[{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""300000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""token"":{""contract_addr"":""persistence1uakxncqvela43mtpck8azfupk7wzzau8jx785595fc73tqg803hq6mwqqp""}},""amount"":""400000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]","[{""info"":{""token"":{""contract_addr"":""persistence17ln6t80dtevdwxtat4g3d7gnvn7t6u6lwn9sfl95us4v2ze7uw5qd302s4""}},""amount"":""300000000""},{""info"":{""token"":{""contract_addr"":""persistence1da9krw7mn7cp2p74sus6x0ckfd5c9q5vhqe92yx8cf5dyqu8q8gq7mg5uk""}},""amount"":""2000000000""},{""info"":{""token"":{""contract_addr"":""persistence1uakxncqvela43mtpck8azfupk7wzzau8jx785595fc73tqg803hq6mwqqp""}},""amount"":""400000000""},{""info"":{""native_token"":{""denom"":""uxprt""}},""amount"":""1000000000""}]"
